"id","id_subj","nb_question","nb_item","choice"
"1","1623","1","1","49"
"2","1623","2","3","50"
"3","1645","1","2","3"
"4","1645","2","1","3"
"5","1631","1","4","12"
"6","1623","3","5","75"
"7","1604","1","4","50"
"8","1645","3","4","6"
"9","1645","4","5","0"
"10","1631","2","2","92"
"11","1604","2","5","0"
"12","1615","1","5","48"
"13","1623","4","4","33"
"14","1631","3","1","3"
"15","1645","5","3","0"
"16","1631","4","5","4"
"17","1604","3","2","49"
"18","1631","5","3","91"
"19","1615","2","3","45"
"20","1620","1","2","20"
"21","1629","1","5","68"
"22","1611","1","4","0"
"23","1628","1","4","28"
"24","1623","5","2","20"
"25","1620","2","4","33"
"26","1604","4","1","0"
"27","1606","1","2","21"
"28","1604","5","3","0"
"29","1629","2","3","34"
"30","1643","1","4","17"
"31","1620","3","1","25"
"32","1647","1","4","25"
"33","1626","1","5","75"
"34","1615","3","1","24"
"35","1620","4","3","50"
"36","1635","1","4","17"
"37","1606","2","1","10"
"38","1643","2","2","20"
"39","1641","1","3","42"
"40","1638","1","3","0"
"41","1601","1","3","48"
"42","1650","1","5","58"
"43","1615","4","4","34"
"44","1628","2","1","24"
"45","1611","2","3","25"
"46","1627","1","4","33"
"47","1609","1","5","38"
"48","1643","3","1","25"
"49","1606","3","3","48"
"50","1644","1","5","50"
"51","1616","1","1","34"
"52","1619","1","1","62"
"53","1629","3","1","20"
"54","1620","5","5","49"
"55","1626","2","1","25"
"56","1628","3","2","38"
"57","1615","5","2","20"
"58","1624","1","4","17"
"59","1636","1","1","25"
"60","1618","1","1","24"
"61","1629","4","4","9"
"62","1606","4","5","74"
"63","1642","1","2","16"
"64","1650","2","1","12"
"65","1601","2","1","32"
"66","1647","2","1","25"
"67","1625","1","2","0"
"68","1638","2","1","7"
"69","1629","5","2","27"
"70","1611","3","1","19"
"71","1618","2","2","0"
"72","1609","2","3","34"
"73","1606","5","4","33"
"74","1643","4","3","50"
"75","1603","1","3","41"
"76","1638","3","5","0"
"77","1624","2","5","33"
"78","1641","2","1","19"
"79","1628","4","3","8"
"80","1642","2","1","0"
"81","1614","1","3","0"
"82","1644","2","2","41"
"83","1638","4","4","0"
"84","1602","1","3","0"
"85","1618","3","3","16"
"86","1619","2","5","83"
"87","1611","4","2","14"
"88","1643","5","5","63"
"89","1609","3","1","0"
"90","1625","2","1","42"
"91","1624","3","1","12"
"92","1650","3","4","22"
"93","1626","3","4","33"
"94","1627","2","1","25"
"95","1636","2","5","75"
"96","1616","2","2","37"
"97","1638","5","2","0"
"98","1628","5","5","8"
"99","1601","3","5","61"
"100","1644","3","4","33"
"101","1611","5","5","0"
"102","1618","4","4","16"
"103","1625","3","5","0"
"104","1609","4","4","19"
"105","1647","3","2","12"
"106","1624","4","3","17"
"107","1602","2","2","0"
"108","1644","4","3","61"
"109","1641","3","2","20"
"110","1625","4","4","0"
"111","1636","3","4","33"
"112","1627","3","3","50"
"113","1650","4","3","33"
"114","1626","4","3","50"
"115","1618","5","5","17"
"116","1625","5","3","0"
"117","1648","1","5","75"
"118","1642","3","3","16"
"119","1644","5","1","56"
"120","1601","4","4","41"
"121","1605","1","1","25"
"122","1624","5","2","20"
"123","1602","3","1","0"
"124","1619","3","3","83"
"125","1627","4","2","20"
"126","1616","3","3","52"
"127","1641","4","4","33"
"128","1636","4","2","20"
"129","1650","5","2","9"
"130","1614","2","1","1"
"131","1607","1","5","0"
"132","1648","2","4","33"
"133","1626","5","2","13"
"134","1647","4","5","49"
"135","1601","5","2","22"
"136","1602","4","4","0"
"137","1627","5","5","75"
"138","1642","4","5","17"
"139","1646","1","3","50"
"140","1636","5","3","50"
"141","1602","5","5","0"
"142","1619","4","4","75"
"143","1648","3","1","17"
"144","1603","2","4","33"
"145","1641","5","5","50"
"146","1609","5","2","31"
"147","1614","3","4","0"
"148","1619","5","2","63"
"149","1642","5","4","17"
"150","1613","1","3","34"
"151","1616","4","5","69"
"152","1605","2","3","50"
"153","1610","1","1","0"
"154","1648","4","3","50"
"155","1630","1","1","22"
"156","1614","4","5","0"
"157","1649","1","4","83"
"158","1607","2","1","0"
"159","1603","3","5","74"
"160","1647","5","3","46"
"161","1610","2","3","6"
"162","1648","5","2","19"
"163","1607","3","2","0"
"164","1612","1","3","48"
"165","1617","1","3","9"
"166","1616","5","4","35"
"167","1607","4","4","0"
"168","1646","2","4","17"
"169","1605","3","2","20"
"170","1607","5","3","0"
"171","1630","2","4","33"
"172","1614","5","2","1"
"173","1632","1","4","33"
"174","1610","3","4","5"
"175","1608","1","1","19"
"176","1637","1","1","0"
"177","1605","4","4","33"
"178","1633","1","2","100"
"179","1646","3","5","17"
"180","1610","4","2","4"
"181","1622","1","5","42"
"182","1608","2","5","33"
"183","1613","2","2","100"
"184","1630","3","2","20"
"185","1621","1","4","50"
"186","1646","4","2","33"
"187","1649","2","5","96"
"188","1612","2","5","1"
"189","1637","2","2","0"
"190","1603","4","2","20"
"191","1610","5","5","10"
"192","1613","3","4","100"
"193","1605","5","5","75"
"194","1617","2","2","18"
"195","1633","2","3","0"
"196","1635","2","5","33"
"197","1612","3","4","73"
"198","1639","1","1","12"
"199","1613","4","5","0"
"200","1637","3","5","0"
"201","1633","3","5","0"
"202","1646","5","1","31"
"203","1613","5","1","100"
"204","1633","4","4","100"
