"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","1813","4","19","6","4","1","1","[7]"
"2","1809","5","19","5","4","1","1","[1]"
"3","1813","6","19","6","4","1","1","[7,1]"
"4","1809","6","19","5","4","1","1","[1,7]"
"5","1826","7","19","9","3","1","1","[5]"
"6","1802","7","19","8","1","1","1","[1]"
"7","1827","7","19","2","2","1","1","[1]"
"8","1813","7","19","6","4","1","1","[7,1,5]"
"9","1822","7","19","7","3","1","1","[5]"
"10","1831","7","19","3","4","1","1","[6]"
"11","1830","8","19","9","2","1","1","[6]"
"12","1803","8","19","4","3","1","1","[7]"
"13","1816","8","19","5","3","1","1","[1]"
"14","1804","9","19","7","4","1","1","[6]"
"15","1830","9","19","9","2","1","1","[]"
"16","1825","9","19","1","2","1","1","[2]"
"17","1803","9","19","4","3","1","1","[7,10]"
"18","1809","9","19","5","4","1","1","[1,7,9]"
"19","1834","9","19","8","3","1","1","[6]"
"20","1824","9","19","10","1","1","1","[1]"
"21","1815","10","19","6","2","1","1","[7]"
"22","1826","10","19","9","3","1","1","[5,1]"
"23","1833","10","19","7","2","1","1","[6]"
"24","1803","10","19","4","3","1","1","[7,10,3]"
"25","1816","10","19","5","3","1","1","[1,7]"
"26","1834","10","19","8","3","1","1","[6,1]"
"27","1825","11","19","1","2","1","1","[2,9]"
"28","1803","11","19","4","3","1","1","[7,10,3,6]"
"29","1822","11","19","7","3","1","1","[5,4]"
"30","1809","11","19","5","4","1","1","[1,9]"
"31","1814","12","19","6","3","1","1","[4]"
"32","1815","12","19","6","2","1","1","[7,1]"
"33","1802","12","19","8","1","1","1","[1,6]"
"34","1829","12","19","2","3","1","1","[7]"
"35","1824","12","19","10","1","1","1","[1,9]"
"36","1803","12","19","4","3","1","1","[7,10,3,6,8]"
"37","1832","12","19","4","4","1","1","[9]"
"38","1821","12","19","5","1","1","1","[1]"
"39","1809","12","19","5","4","1","1","[9]"
"40","1834","13","19","8","3","1","1","[6,1,9]"
"41","1812","13","19","7","1","1","1","[6]"
"42","1818","13","19","5","2","1","1","[9]"
"43","1832","13","19","4","4","1","1","[]"
"44","1837","13","19","1","4","1","1","[7]"
"45","1824","13","19","10","1","1","1","[1,9,6]"
"46","1813","14","19","6","4","1","1","[7,1,5,9]"
"47","1816","14","19","5","3","1","1","[1,7,9]"
"48","1801","14","19","9","1","1","1","[8]"
"49","1809","14","19","5","4","1","1","[9,1]"
"50","1828","14","19","3","2","1","1","[9]"
"51","1802","14","19","8","1","1","1","[1,6,10]"
"52","1825","14","19","1","2","1","1","[2,9,6]"
"53","1838","14","19","10","3","1","1","[4]"
"54","1805","14","19","2","1","1","1","[7]"
"55","1823","14","19","10","4","1","1","[6]"
"56","1840","14","19","1","3","1","1","[7]"
"57","1804","15","19","7","4","1","1","[6,9]"
"58","1836","15","19","3","1","1","1","[1]"
"59","1806","15","19","2","4","1","1","[6]"
"60","1834","15","19","8","3","1","1","[6,1,9,4]"
"61","1831","15","19","3","4","1","1","[6,5]"
"62","1815","15","19","6","2","1","1","[1]"
"63","1840","15","19","1","3","1","1","[]"
"64","1805","15","19","2","1","1","1","[7,1]"
"65","1833","15","19","7","2","1","1","[6,4]"
"66","1829","15","19","2","3","1","1","[7,1]"
"67","1836","15","19","3","1","1","1","[]"
"68","1819","15","19","10","2","1","1","[8]"
"69","1837","15","19","1","4","1","1","[7,2]"
"70","1826","16","19","9","3","1","1","[5,1,8]"
"71","1838","16","19","10","3","1","1","[4,8]"
"72","1806","16","19","2","4","1","1","[6,7]"
