"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","1840","1","19","1","1","3","1572429851","1572429509","342","[8,6,10,4,2]","13"
"2","1818","1","19","1","5","2","1572429851","1572429509","342","[1,9]","27.4"
"3","1816","1","19","1","5","3","1572429848","1572429509","342","[7,8,2,9,4]","21"
"4","1830","1","19","1","9","2","1572429851","1572429509","342","[7,5,6]","47.7"
"5","1802","1","19","1","8","1","1572429850","1572429509","342","[5,7,4,1,2,3,10,6]","-4.6"
"6","1805","1","19","1","2","1","1572429848","1572429509","342","[6,8,5,10]","19.4"
"7","1812","1","19","1","7","1","1572429850","1572429509","342","[10,2,8,3,4,1]","19.4"
"8","1813","1","19","1","6","4","1572429847","1572429509","342","[5,4,10]","18.2"
"9","1808","1","19","1","8","2","1572429827","1572429509","342","[10,4,3,7,9,5,6,1,2]","19.4"
"10","1809","1","19","1","5","4","1572429850","1572429509","342","[10,1,4]","16.5"
"11","1801","1","19","1","9","1","1572429838","1572429509","342","[1,2,8,4]","23.7"
"12","1833","1","19","1","7","2","1572429834","1572429509","342","[4,10,9,5,2,8,3]","11.4"
"13","1836","1","19","1","3","1","1572429851","1572429509","342","[7,6,8]","19.4"
"14","1819","1","19","1","10","2","1572429846","1572429509","342","[8,3,7,4,2]","11.4"
"15","1825","1","19","1","1","2","1572429828","1572429509","342","[3,5,2]","27.4"
"16","1821","1","19","1","5","1","1572429850","1572429509","342","[2,4]","27.4"
"17","1832","1","19","1","4","4","1572429775","1572429509","342","[1,6,8,5]","31.4"
"18","1826","1","19","1","9","3","1572429848","1572429509","342","[1,10,2,3,5,4,6]","13"
"19","1834","1","19","1","8","3","1572429839","1572429509","342","[5,2,1]","29"
"20","1806","1","19","1","2","4","1572429847","1572429509","342","[1,9]","19"
"21","1814","1","19","1","6","3","1572429775","1572429509","342","[4,3,1]","29"
"22","1824","1","19","1","10","1","1572429847","1572429509","342","[1,8,7,2,5,6,4]","19.4"
"23","1828","1","19","1","3","2","1572429850","1572429509","342","[10,2,6]","27.4"
"24","1817","1","19","1","9","4","1572429851","1572429509","342","[2,8,7,10,1]","11"
"25","1831","1","19","1","3","4","1572429824","1572429509","342","[7,8,1,5]","19"
"26","1820","1","19","1","4","2","1572429851","1572429509","342","[7,9,3,1,2,8]","27.4"
"27","1803","1","19","1","4","3","1572429851","1572429509","342","[7,6,3,10,9,5,1]","-11"
"28","1807","1","19","1","6","1","1572429847","1572429509","342","[4,1,8,3]","19.4"
"29","1838","1","19","1","10","3","1572429845","1572429509","342","[9,4]","29"
"30","1810","1","19","1","1","1","1572429831","1572429509","342","[9,4,6,2]","47.7"
"31","1835","1","19","1","3","3","1572429832","1572429509","342","[4,2,9]","21"
"32","1837","1","19","1","1","4","1572429765","1572429509","342","[10,5,4,2,9,6,3]","69.9"
"33","1815","1","19","1","6","2","1572429842","1572429509","342","[1,9,5]","23.7"
"34","1822","1","19","1","7","3","1572429846","1572429509","342","[4,2]","29"
"35","1839","1","19","1","4","1","1572429850","1572429509","342","[5,1,8]","19.4"
"36","1811","1","19","1","8","4","1572429847","1572429509","342","[10,6,1]","17.4"
"37","1829","1","19","1","2","3","1572429847","1572429509","342","[1,7,3]","21"
"38","1823","1","19","1","10","4","1572429838","1572429509","342","[8,1]","36.9"
"39","1804","1","19","1","7","4","1572429851","1572429509","342","[4,8,3,9]","19"
"40","1827","1","19","1","2","2","1572429849","1572429509","342","[1,3,5,10]","19.4"
"41","1802","2","19","1","3","1","1572430208","1572429921","342","[4,5,10]","14.4"
"42","1811","2","19","1","4","4","1572430206","1572429921","342","[9,5]","29"
"43","1809","2","19","1","6","4","1572430212","1572429921","342","[3,4,7,8,10]","21"
"44","1801","2","19","1","1","1","1572430211","1572429921","342","[7,3,8,4]","21.2"
"45","1812","2","19","1","8","1","1572430204","1572429921","342","[5,3,4,2,9,6,10,7]","56.4"
"46","1837","2","19","1","5","4","1572430208","1572429921","342","[10,4,8,7,1,3]","-3"
"47","1829","2","19","1","5","3","1572430168","1572429921","342","[4,3,10,6,1]","42.7"
"48","1833","2","19","1","3","2","1572430211","1572429921","342","[4,6,9,10,1]","0"
"49","1805","2","19","1","6","1","1572430208","1572429921","342","[8,7]","22"
"50","1831","2","19","1","9","4","1572430208","1572429921","342","[6,2,3,4]","29"
"51","1836","2","19","1","7","1","1572430210","1572429921","342","[2]","21.2"
"52","1827","2","19","1","7","2","1572430212","1572429921","342","[10,4,8,2]","15.4"
"53","1828","2","19","1","2","2","1572430206","1572429921","342","[5,9,7]","32.4"
