"id","id_subj","nb_question","nb_item","choice"
"1","1812","1","1","0"
"2","1812","2","4","0"
"3","1812","3","5","0"
"4","1812","4","2","0"
"5","1812","5","3","0"
"6","1811","1","5","0"
"7","1838","1","3","50"
"8","1820","1","2","31"
"9","1811","2","4","33"
"10","1839","1","4","22"
"11","1820","2","1","79"
"12","1809","1","4","0"
"13","1811","3","2","38"
"14","1820","3","5","9"
"15","1809","2","3","0"
"16","1803","1","2","21"
"17","1820","4","4","27"
"18","1811","4","1","25"
"19","1839","2","2","19"
"20","1837","1","2","17"
"21","1838","2","2","14"
"22","1839","3","1","71"
"23","1820","5","3","41"
"24","1809","3","5","0"
"25","1803","2","3","52"
"26","1802","1","1","25"
"27","1811","5","3","50"
"28","1806","1","3","17"
"29","1839","4","5","25"
"30","1838","3","5","77"
"31","1837","2","5","64"
"32","1833","1","1","25"
"33","1803","3","1","26"
"34","1837","3","3","24"
"35","1802","2","2","0"
"36","1806","2","4","34"
"37","1821","1","4","33"
"38","1837","4","1","60"
"39","1802","3","3","0"
"40","1829","1","2","6"
"41","1837","5","4","37"
"42","1809","4","2","11"
"43","1838","4","4","33"
"44","1803","4","5","76"
"45","1839","5","3","33"
"46","1836","1","2","11"
"47","1838","5","1","35"
"48","1809","5","1","26"
"49","1803","5","4","34"
"50","1819","1","2","20"
"51","1834","1","3","0"
"52","1808","1","2","100"
"53","1802","4","5","75"
"54","1808","2","4","0"
"55","1806","3","2","0"
"56","1833","2","2","0"
"57","1836","2","1","25"
"58","1808","3","5","0"
"59","1840","1","5","46"
"60","1808","4","3","0"
"61","1802","5","4","100"
"62","1821","2","2","20"
"63","1836","3","5","0"
"64","1806","4","5","8"
"65","1808","5","1","100"
"66","1819","2","4","17"
"67","1833","3","4","33"
"68","1836","4","4","26"
"69","1829","2","4","8"
"70","1834","2","4","0"
"71","1806","5","1","0"
"72","1840","2","4","58"
"73","1821","3","3","0"
"74","1836","5","3","54"
"75","1824","1","1","12"
"76","1827","1","5","74"
"77","1834","3","2","0"
"78","1840","3","3","70"
"79","1822","1","5","58"
"80","1833","4","5","71"
"81","1829","3","5","17"
"82","1821","4","1","25"
"83","1834","4","1","0"
"84","1819","3","3","44"
"85","1840","4","1","39"
"86","1834","5","5","0"
"87","1824","2","3","9"
"88","1827","2","3","50"
"89","1822","2","4","17"
"90","1801","1","4","25"
"91","1829","4","1","4"
"92","1840","5","2","56"
"93","1804","1","5","74"
"94","1833","5","3","50"
"95","1819","4","5","46"
"96","1821","5","5","33"
"97","1824","3","5","29"
"98","1829","5","3","16"
"99","1827","3","1","25"
"100","1826","1","2","21"
"101","1819","5","1","24"
"102","1801","2","1","25"
"103","1822","3","2","63"
"104","1804","2","4","33"
"105","1827","4","4","34"
"106","1824","4","4","9"
"107","1822","4","3","16"
"108","1804","3","3","50"
"109","1827","5","2","20"
"110","1824","5","2","8"
"111","1801","3","2","20"
"112","1822","5","1","42"
"113","1801","4","3","0"
"114","1804","4","2","20"
"115","1826","2","4","27"
"116","1831","1","2","10"
"117","1807","1","4","25"
"118","1828","1","5","42"
"119","1804","5","1","26"
"120","1817","1","2","0"
"121","1814","1","5","42"
"122","1818","1","2","31"
"123","1831","2","4","33"
"124","1801","5","5","58"
"125","1817","2","1","0"
"126","1805","1","5","62"
"127","1826","3","3","0"
"128","1831","3","1","17"
"129","1814","2","1","25"
"130","1816","1","5","20"
"131","1835","1","4","17"
"132","1828","2","4","14"
"133","1817","3","5","0"
"134","1814","3","4","0"
"135","1831","4","3","35"
"136","1818","2","4","33"
"137","1826","4","1","25"
"138","1817","4","3","33"
"139","1828","3","3","28"
"140","1813","1","2","51"
"141","1805","2","3","25"
"142","1831","5","5","58"
"143","1817","5","4","34"
"144","1816","2","1","5"
"145","1825","1","2","20"
"146","1813","2","5","0"
"147","1816","3","4","0"
"148","1835","2","2","20"
"149","1805","3","2","20"
"150","1826","5","5","49"
"151","1813","3","4","50"
"152","1828","4","1","14"
"153","1814","4","2","13"
"154","1805","4","4","33"
"155","1816","4","3","50"
"156","1835","3","1","0"
"157","1807","2","2","13"
"158","1805","5","1","19"
"159","1818","3","1","42"
"160","1814","5","3","16"
"161","1825","2","1","25"
"162","1832","1","3","33"
"163","1813","4","3","0"
"164","1816","5","2","8"
"165","1835","4","3","17"
"166","1807","3","3","42"
"167","1818","4","5","58"
"168","1828","5","2","11"
"169","1818","5","3","50"
"170","1813","5","1","51"
"171","1825","3","5","42"
"172","1815","1","5","58"
"173","1832","2","4","25"
"174","1835","5","5","37"
"175","1825","4","3","50"
"176","1807","4","5","58"
"177","1823","1","5","0"
"178","1815","2","2","31"
"179","1825","5","4","25"
"180","1832","3","2","38"
"181","1807","5","1","37"
"182","1823","2","1","0"
"183","1832","4","1","25"
"184","1815","3","4","33"
"185","1810","1","2","13"
"186","1823","3","2","0"
"187","1823","4","3","0"
"188","1815","4","3","50"
"189","1823","5","4","0"
"190","1830","1","5","50"
"191","1815","5","1","25"
"192","1832","5","5","59"
"193","1830","2","3","50"
"194","1830","3","4","21"
"195","1810","2","4","24"
"196","1810","3","3","83"
"197","1830","4","2","63"
"198","1810","4","1","25"
"199","1830","5","1","42"
"200","1810","5","5","75"
