"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"1801","19","1","1","147.156.150.50","l61","1572426877",NULL,"30","100","7","20","1",,"1","203","0","41","0","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","2","2","10","8","207.5","Conectarme con los participantes con más ganancias y no generar demasiado número de enlaces","Conseguir el máximo número de ganancias de la misma forma que yo",,"4,1,2,3,5","4","6","45","30","1","0,0,0,1,1","1.6","5","3","1","4","3","3","8",NULL,NULL,"2","1,4,1,1,3,3,2,3,4,3","18.1"
"1807","19","1","2","147.156.150.46","l57","1572426944",NULL,"30","100","7","18","0","tarongers","4","148","0","0","8","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","8","2","10","8","187.6","basarme en que lineas me convenia estar","supongo que la misma",,"4,2,3,5,1","5","6","50.4","23.2","3","0,0,0,0,0","2","5","6","1","3","2","4","2",NULL,NULL,"1","3,4,2,2,1,4,1,3,3,2","17.6"
"1839","19","1","3","147.156.150.11","l15","1572427081",NULL,"30","100","7","18","1","Tarongers","4","203","0","41","3","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","8","2","10","8","145","Aprender y conseguir dinero","Ganar dinero",,"4,2,1,5,3","3","6","40.2","19.8","4","0,0,0,0,1","1.6","5","3","2","4","5","5","1",NULL,NULL,"2","1,3,2,1,1,3,1,3,3,2","15"
"1821","19","1","4","147.156.150.31","l31","1572427011",NULL,"30","100","7","18","1","economia","4","203","0","41","4","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","5","2","10","8","188.2","intentar hacer el maximo de puntos","si",,"4,2,3,1,5","4","6","40.2","39.6","2","1,1,1,1,1","0.1","5","6","1","1","3","5","8",NULL,NULL,"4","1,4,4,0,2,4,0,4,4,4","15.9"
"1805","19","1","5","147.156.150.42","l55","1572426933",NULL,"30","100","7","23","1","Veterinaria","5","203","0","41","1","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","9","2","10","8","170.4","No estar conectado a más de 3 usuarios e intentar ser uno crítico.","Supongo que la misma, además de ir probando a ver con cual obtenian más puntos.","Creo que ha sido un experimento algo complicado de entender y la gente ha hecho las cosas sin pensar. ","5,3,2,4,1","4","6","40.2","39.6","3","0,0,0,1,1","2","5","5","1","1","5","5","1",NULL,NULL,"5","2,4,0,1,0,4,1,4,2,4","17"
"1812","19","1","6","147.156.150.44","l64","1572426978",NULL,"30","100","7","20","1","derecho","4","203","0","41","3","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","9","2","10","8","195.8","ir viendo los puntos que llevaba y si perdía mucho, hacía nuevas alianzas o rompía algunas","no sé",,"1,4,5,2,3","5","6","120","0","2","0,0,0,1,1","2","5","4","1","0","3","3","2",NULL,NULL,"1","3,4,4,2,4,2,1,4,4,4","19.4"
"1802","19","1","7","147.156.150.39","l52","1572426914",NULL,"30","100","7","22","0","universidad de valencia","4","203","0","41","4","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","4","2","10","8","165.3","Intentar ser el que haga que los demas se conecten, obener la cantidad maxima posbile de puntos con la reserva","la misma que la mia",,"1,2,3,5,4","4","6","0","120","2","0,0,0,1,1","1.6","5","5","1","0","5","5","1",NULL,NULL,"4","3,4,3,2,4,3,2,2,4,1","15.3"
"1810","19","1","8","147.156.150.37","l43","1572426972",NULL,"30","100","7","19","1",,"4","203","0","41","3","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","9","2","10","8","215.5","Esperar a ver que hacían los demás y de ahí ir conectándome con la gente.","Conseguir la mayor cantidad de dinero",,"2,4,3,1,5","4","6","45.6","28.8","5","0,0,1,1,1","3.85","5","5","1","4","5","5","8",NULL,NULL,"5","1,4,1,3,1,4,0,1,1,3","21.1"
"1836","19","1","9","147.156.150.6","l12","1572427063",NULL,"30","100","7","20","1",,"4","203","0","42","1","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","1","2","10","8","207.3","intentar tener sobre unos 20 puntos todo el rato y no bajar de ahi","calcular las conexiones",,"2,1,5,4,3","5","6","120","0","4","0,0,0,1,1","0.1","5","3","1","1","1","5","1",NULL,NULL,"3","2,3,0,3,1,4,0,3,1,4","18.2"
"1824","19","1","10","147.156.150.16","l22","1572427019",NULL,"30","100","7","22","1","medicina","1","203","0","41","4","6","10","40","342,291,236,139,205,296","60","360",NULL,"80","20","50","5","9","2","10","8","216.7","intentar conectarme a aquel que menos conexiones tenia","conectarse aleatoriamente a ver que pasaba",,"1,3,5,4,2","2","6","36.8","12.8","3","0,0,1,1,1","3.85","5","5","1","1","7","4","9",NULL,NULL,"3","1,4,2,1,0,4,2,3,2,4","20.8"
