"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","2029","3","21","5","3","1","1","[7]"
"2","2015","4","21","4","1","1","1","[1]"
"3","2032","5","21","5","1","1","1","[6]"
"4","2035","6","21","3","1","1","1","[7]"
"5","2032","7","21","5","1","1","1","[6,9]"
"6","2010","7","21","3","2","1","1","[1]"
"7","2034","7","21","10","1","1","1","[1]"
"8","2022","7","21","4","3","1","1","[1]"
"9","2032","8","21","5","1","1","1","[6,9,10]"
"10","2034","8","21","10","1","1","1","[1,6]"
"11","2018","8","21","1","1","1","1","[2]"
"12","2032","9","21","5","1","1","1","[6,9,10,7]"
"13","2024","9","21","9","3","1","1","[8]"
"14","2010","9","21","3","2","1","1","[1,7]"
"15","2035","9","21","3","1","1","1","[7,1]"
"16","2032","9","21","5","1","1","1","[6,9,10,7,1]"
"17","2018","10","21","1","1","1","1","[]"
"18","2025","10","21","2","4","1","1","[1]"
"19","2039","10","21","8","2","1","1","[6]"
"20","2034","10","21","10","1","1","1","[1,6,5]"
"21","2002","10","21","2","1","1","1","[7]"
"22","2014","10","21","2","3","1","1","[7]"
"23","2020","10","21","9","1","1","1","[5]"
"24","2012","10","21","6","4","1","1","[5]"
"25","2040","10","21","8","1","1","1","[6]"
"26","2033","10","21","8","3","1","1","[5]"
"27","2032","10","21","5","1","1","1","[6,9,10,7,1,4]"
"28","2037","10","21","7","2","1","1","[3]"
"29","2018","11","21","1","1","1","1","[2]"
"30","2006","11","21","1","3","1","1","[4]"
"31","2039","11","21","8","2","1","1","[6,1]"
"32","2001","12","21","1","4","1","1","[6]"
"33","2031","12","21","10","3","1","1","[1]"
"34","2028","12","21","6","1","1","1","[10]"
"35","2034","12","21","10","1","1","1","[1,6,5,9]"
"36","2032","12","21","5","1","1","1","[6,9,10,7,1,4,2]"
"37","2014","12","21","2","3","1","1","[7,1]"
"38","2017","12","21","9","2","1","1","[5]"
"39","2003","12","21","6","3","1","1","[5]"
"40","2005","12","21","1","2","1","1","[2]"
"41","2037","12","21","7","2","1","1","[3,9]"
"42","2039","13","21","8","2","1","1","[6,1,5]"
"43","2026","13","21","7","4","1","1","[1]"
"44","2006","13","21","1","3","1","1","[]"
"45","2018","13","21","1","1","1","1","[2,7]"
"46","2032","13","21","5","1","1","1","[6,9,10,7,1,4,2,8]"
"47","2016","13","21","10","2","1","1","[5]"
"48","2002","13","21","2","1","1","1","[7,5]"
"49","2029","13","21","5","3","1","1","[7,6]"
"50","2040","13","21","8","1","1","1","[6,1]"
"51","2035","13","21","3","1","1","1","[7,1,10]"
"52","2001","13","21","1","4","1","1","[6,2]"
"53","2023","13","21","5","4","1","1","[6]"
"54","2036","13","21","6","2","1","1","[8]"
"55","2022","13","21","4","3","1","1","[1,10]"
"56","2007","13","21","3","4","1","1","[7]"
"57","2033","13","21","8","3","1","1","[]"
"58","2039","14","21","8","2","1","1","[6,1,5,9]"
"59","2032","14","21","5","1","1","1","[6,9,10,7,1,4,2,8,3]"
"60","2034","14","21","10","1","1","1","[1,6,5,9,3]"
"61","2020","14","21","9","1","1","1","[5,6]"
"62","2003","14","21","6","3","1","1","[5,1]"
"63","2018","14","21","1","1","1","1","[2]"
"64","2039","15","21","8","2","1","1","[6,1,5,9,10]"
"65","2016","15","21","10","2","1","1","[5,1]"
"66","2005","15","21","1","2","1","1","[2,3]"
"67","2006","15","21","1","3","1","1","[7]"
"68","2021","15","21","9","4","1","1","[8]"
"69","2035","15","21","3","1","1","1","[1,10]"
"70","2029","15","21","5","3","1","1","[7,6,1]"
"71","2028","15","21","6","1","1","1","[10,5]"
