"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","2033","1","21","1","8","3","1572446063","1572445800","264","[1,7,6,3]","13.3"
"2","2018","1","21","1","1","1","1572446064","1572445800","264","[2,7,9,3,4,8]","16.8"
"3","2002","1","21","1","2","1","1572446063","1572445800","264","[7,10,1]","16.9"
"4","2003","1","21","1","6","3","1572446059","1572445800","264","[1,8,9,2]","21.1"
"5","2037","1","21","1","7","2","1572446064","1572445800","264","[6]","20.4"
"6","2024","1","21","1","9","3","1572446052","1572445800","264","[6,8,1,10,7,4]","33.2"
"7","2032","1","21","1","5","1","1572446063","1572445800","264","[10,8]","22.9"
"8","2006","1","21","1","1","3","1572446063","1572445800","264","[9]","19.9"
"9","2011","1","21","1","10","4","1572446054","1572445800","264","[5,9,6]","10.2"
"10","2001","1","21","1","1","4","1572446059","1572445800","264","[7,8,5,3,9,2,4,6]","33.8"
"11","2015","1","21","1","4","1","1572446063","1572445800","264","[5,8,6,3,10]","11"
"12","2025","1","21","1","2","4","1572446060","1572445800","264","[8,3,7,6,1]","8.9"
"13","2027","1","21","1","2","2","1572446042","1572445800","264","[8,7,3,9,6,5,1,10,4]","40.9"
"14","2014","1","21","1","2","3","1572446032","1572445800","264","[8,5,7,4,6,1,9,3,10]","29.8"
"15","2020","1","21","1","9","1","1572446056","1572445800","264","[10,5]","22.9"
"16","2039","1","21","1","8","2","1572446064","1572445800","264","[6,5,9]","20.4"
"17","2016","1","21","1","10","2","1572446064","1572445800","264","[8,9,1,4,3,2,6,7]","28.4"
"18","2022","1","21","1","4","3","1572446063","1572445800","264","[1,8,6,5,9,3]","19.5"
"19","2036","1","21","1","6","2","1572446027","1572445800","264","[10,5,3,7,1,8,2,9]","45.5"
"20","2034","1","21","1","10","1","1572446003","1572445800","264","[5,6,3,8,7,2,9,1,4]","43.8"
"21","2013","1","21","1","8","4","1572446058","1572445800","264","[1,2]","14"
"22","2021","1","21","1","9","4","1572446063","1572445800","264","[3,8,10,5]","14.9"
"23","2005","1","21","1","1","2","1572446064","1572445800","264","[6,10]","15.7"
"24","2031","1","21","1","10","3","1572446060","1572445800","264","[1,3,6,8,4,5,9,7]","14.2"
"25","2004","1","21","1","7","1","1572446063","1572445800","264","[2,9,3,8,5,6,4,10]","7.5"
"26","2023","1","21","1","5","4","1572446060","1572445800","264","[6,4,10,7,1,9]","49.5"
"27","2007","1","21","1","3","4","1572446049","1572445800","264","[2,1]","14"
"28","2019","1","21","1","4","2","1572445979","1572445800","264","[2]","20.4"
"29","2030","1","21","1","5","2","1572446059","1572445800","264","[3,9,2,1,7,4]","17.8"
"30","2026","1","21","1","7","4","1572445990","1572445800","264","[1,4,3,2,5,9]","18.5"
"31","2017","1","21","1","9","2","1572446062","1572445800","264","[4,5,10]","17.4"
"32","2028","1","21","1","6","1","1572446064","1572445800","264","[2,10,7,3]","11"
"33","2009","1","21","1","3","3","1572446053","1572445800","264","[8,4,6,1,2,10]","21.2"
"34","2035","1","21","1","3","1","1572446064","1572445800","264","[5,6,7,1,4,10,8]","14.5"
"35","2008","1","21","1","7","3","1572446063","1572445800","264","[2,3,8,5,1,10,6,9]","19.3"
"36","2038","1","21","1","4","4","1572446062","1572445800","264","[5,7,3]","15.7"
"37","2040","1","21","1","8","1","1572446061","1572445800","264","[3,4,10]","11"
"38","2012","1","21","1","6","4","1572446062","1572445800","264","[5,8,10]","14.9"
"39","2010","1","21","1","3","2","1572446062","1572445800","264","[1,7,4,8,10,2]","15.7"
"40","2029","1","21","1","5","3","1572446060","1572445800","264","[2,3,8]","19"
"41","2037","2","21","1","5","2","1572446581","1572446228","264","[6,2]","19.5"
"42","2003","2","21","1","1","3","1572446576","1572446228","264","[6,9,7,4]","27.1"
"43","2015","2","21","1","8","1","1572446572","1572446228","264","[6,2,4,9,5]","21.2"
"44","2029","2","21","1","8","3","1572446583","1572446228","264","[6,2,4,5,9,1,10,3]","14.4"
"45","2009","2","21","1","9","3","1572446581","1572446228","264","[10,2,3,5,4,8,1]","31.4"
"46","2013","2","21","1","3","4","1572446348","1572446228","264","[5,6,7,10,8,4,9,1,2]","68.6"
"47","2019","2","21","1","6","2","1572446581","1572446228","264","[4]","20.4"
"48","2014","2","21","1","4","3","1572446578","1572446228","264","[2,1]","15.7"
"49","2034","2","21","1","4","1","1572446582","1572446228","264","[9,1,10]","33.8"
"50","2028","2","21","1","5","1","1572446581","1572446228","264","[1,2,6]","33.8"
"51","2007","2","21","1","4","4","1572446582","1572446228","264","[9,5,10,7,1,2]","14"
"52","2024","2","21","1","5","3","1572446583","1572446228","264","[3,7,2,9,6]","21.7"
"53","2031","2","21","1","7","3","1572446576","1572446228","264","[9,3,10,5,1,2,6]","35.5"
"54","2021","2","21","1","7","4","1572446579","1572446228","264","[3,8,10,4]","17.6"
"55","2018","2","21","1","2","1","1572446583","1572446228","264","[6,5,4,8,7]","23.7"
"56","2017","2","21","1","7","2","1572446583","1572446228","264","[9,6,5,2,8,10]","18.8"
"57","2004","2","21","1","7","1","1572446583","1572446228","264","[4,2,5,9,10,6,3,1,8]","16.5"
"58","2008","2","21","1","2","3","1572446582","1572446228","264","[6,10,7,3,4]","25.9"
"59","2006","2","21","1","6","3","1572446580","1572446228","264","[7]","19"
"60","2033","2","21","1","10","3","1572446583","1572446228","264","[2,8,9]","20.9"
"61","2020","2","21","1","1","1","1572446578","1572446228","264","[6,2,7,4,5,3]","37.7"
"62","2005","2","21","1","2","2","1572446583","1572446228","264","[5,4,6,7,9,1]","40.1"
"63","2035","2","21","1","9","1","1572446581","1572446228","264","[3,4,8,1]","23.7"
"64","2023","2","21","1","5","4","1572446582","1572446228","264","[3]","22"
"65","2036","2","21","1","4","2","1572446492","1572446228","264","[10,2,9,5,6,3,7,8,1]","50.5"
"66","2001","2","21","1","6","4","1572446581","1572446228","264","[3,1,9]","22"
"67","2002","2","21","1","3","1","1572446583","1572446228","264","[1,4,7,9,8,2,10,5,6]","16.5"
"68","2025","2","21","1","2","4","1572446569","1572446228","264","[10]","19.5"
"69","2027","2","21","1","3","2","1572446582","1572446228","264","[2,5,6,9,7,10,4,8]","23.1"
"70","2040","2","21","1","10","1","1572446583","1572446228","264","[4,2,5,8]","17.7"
"71","2038","2","21","1","1","4","1572446565","1572446228","264","[3]","22"
"72","2016","2","21","1","10","2","1572446583","1572446228","264","[6,8,7,9,3]","14.2"
"73","2039","2","21","1","8","2","1572446582","1572446228","264","[7,4,10]","17.7"
"74","2032","2","21","1","6","1","1572446580","1572446228","264","[5,10,4]","17.7"
"75","2012","2","21","1","9","4","1572446574","1572446228","264","[3,5]","22"
"76","2030","2","21","1","1","2","1572446557","1572446228","264","[9,4,3,8,7,10]","20.4"
"77","2011","2","21","1","10","4","1572446581","1572446228","264","[3,4,8,2,7]","33.9"
