"id","id_subj","nb_question","nb_item","choice"
"1","2037","1","3","50"
"2","2029","1","5","33"
"3","2029","2","1","32"
"4","2029","3","3","50"
"5","2037","2","2","21"
"6","2037","3","4","33"
"7","2033","1","3","47"
"8","2037","4","1","25"
"9","2029","4","2","12"
"10","2024","1","3","44"
"11","2037","5","5","74"
"12","2029","5","4","19"
"13","2024","2","5","70"
"14","2006","1","5","49"
"15","2040","1","3","44"
"16","2017","1","5","74"
"17","2033","2","2","19"
"18","2018","1","1","40"
"19","2006","2","3","34"
"20","2024","3","2","36"
"21","2038","1","4","24"
"22","2024","4","4","34"
"23","2006","3","1","51"
"24","2017","2","1","25"
"25","2038","2","2","0"
"26","2040","2","2","13"
"27","2024","5","1","42"
"28","2039","1","4","100"
"29","2038","3","3","42"
"30","2018","2","2","56"
"31","2023","1","4","33"
"32","2006","4","4","50"
"33","2016","1","1","0"
"34","2017","3","2","18"
"35","2027","1","3","4"
"36","2040","3","4","34"
"37","2010","1","2","26"
"38","2018","3","4","53"
"39","2020","1","4","30"
"40","2003","1","2","100"
"41","2038","4","1","35"
"42","2039","2","5","0"
"43","2016","2","4","0"
"44","2038","5","5","31"
"45","2040","4","1","24"
"46","2023","2","5","17"
"47","2003","2","4","0"
"48","2027","2","2","0"
"49","2020","2","3","33"
"50","2006","5","2","63"
"51","2018","4","5","49"
"52","2017","4","3","17"
"53","2016","3","2","0"
"54","2003","3","3","22"
"55","2039","3","3","48"
"56","2013","1","5","50"
"57","2027","3","4","0"
"58","2017","5","4","17"
"59","2018","5","3","37"
"60","2014","1","2","12"
"61","2008","1","4","50"
"62","2027","4","5","0"
"63","2003","4","5","0"
"64","2005","1","5","0"
"65","2023","3","3","50"
"66","2027","5","1","3"
"67","2003","5","1","88"
"68","2010","2","4","25"
"69","2013","2","3","50"
"70","2040","5","5","58"
"71","2005","2","3","0"
"72","2033","3","5","83"
"73","2005","3","2","0"
"74","2016","4","5","0"
"75","2014","2","5","26"
"76","2007","1","4","25"
"77","2039","4","2","17"
"78","2008","2","1","38"
"79","2004","1","2","0"
"80","2005","4","1","0"
"81","2031","1","4","21"
"82","2007","2","2","23"
"83","2005","5","4","0"
"84","2030","1","5","58"
"85","2010","3","1","53"
"86","2004","2","1","64"
"87","2008","3","2","51"
"88","2039","5","1","0"
"89","2010","4","3","36"
"90","2016","5","3","9"
"91","2007","3","3","42"
"92","2002","1","3","45"
"93","2014","3","1","12"
"94","2022","1","1","10"
"95","2023","4","2","20"
"96","2033","4","1","24"
"97","2020","3","5","44"
"98","2025","1","4","1"
"99","2004","3","3","0"
"100","2007","4","5","69"
"101","2010","5","5","55"
"102","2031","2","2","9"
"103","2007","5","1","34"
"104","2004","4","4","0"
"105","2014","4","3","25"
"106","2023","5","1","0"
"107","2026","1","4","39"
"108","2036","1","1","51"
"109","2020","4","1","25"
"110","2004","5","5","0"
"111","2013","3","2","26"
"112","2019","1","5","75"
"113","2014","5","4","18"
"114","2008","4","5","42"
"115","2002","2","1","27"
"116","2022","2","5","58"
"117","2031","3","1","61"
"118","2020","5","2","17"
"119","2008","5","3","50"
"120","2033","5","4","32"
"121","2025","2","1","2"
"122","2002","3","4","25"
"123","2019","2","3","50"
"124","2025","3","5","0"
"125","2031","4","3","83"
"126","2026","2","1","28"
"127","2022","3","3","0"
"128","2036","2","3","17"
"129","2021","1","5","48"
"130","2002","4","2","36"
"131","2015","1","1","16"
"132","2031","5","5","26"
"133","2026","3","3","50"
"134","2025","4","3","3"
"135","2025","5","2","0"
"136","2019","3","1","100"
"137","2002","5","5","62"
"138","2022","4","2","17"
"139","2015","2","3","36"
"140","2011","1","3","17"
"141","2026","4","2","22"
"142","2013","4","1","25"
"143","2015","3","5","45"
"144","2019","4","4","33"
"145","2022","5","4","0"
"146","2030","2","2","19"
"147","2036","3","2","51"
"148","2019","5","2","20"
"149","2026","5","5","75"
"150","2013","5","4","25"
"151","2015","4","4","29"
"152","2015","5","2","7"
"153","2021","2","2","18"
"154","2036","4","5","17"
"155","2028","1","1","50"
"156","2030","3","4","17"
"157","2021","3","4","20"
"158","2034","1","1","13"
"159","2011","2","2","63"
"160","2028","2","3","0"
"161","2036","5","4","17"
"162","2021","4","3","32"
"163","2028","3","4","0"
"164","2030","4","1","16"
"165","2035","1","4","2"
"166","2011","3","1","0"
"167","2021","5","1","22"
"168","2011","4","5","0"
"169","2028","4","2","0"
"170","2034","2","2","9"
"171","2028","5","5","0"
"172","2011","5","4","16"
"173","2030","5","3","16"
"174","2035","2","2","25"
"175","2035","3","1","0"
"176","2034","3","3","50"
"177","2035","4","5","2"
"178","2035","5","3","47"
"179","2009","1","5","58"
"180","2034","4","5","17"
"181","2012","1","5","37"
"182","2034","5","4","17"
"183","2009","2","3","34"
"184","2032","1","3","0"
"185","2009","3","2","26"
"186","2001","1","4","16"
"187","2032","2","4","0"
"188","2001","2","3","0"
"189","2012","2","2","46"
"190","2001","3","5","8"
"191","2032","3","1","0"
"192","2009","4","4","33"
"193","2032","4","2","0"
"194","2001","4","1","83"
"195","2012","3","3","42"
"196","2001","5","2","0"
"197","2032","5","5","0"
"198","2009","5","1","25"
"199","2012","4","4","45"
"200","2012","5","1","43"
