"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2004","21","1","1","147.156.150.39","l52","1572443043",NULL,"30","100","7","19","1","Economía","4","203","0","42","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","146.8","La estrategia general fue reducir los costes de distancia entre punto y punto, así como crear distintos caminos.","Crear caminos sin generar pérdidas o mantener las ganancias",,"2,1,3,4,5","3","6","60","0","2","0,1,1,1,1","0.1","5","2","1","0","1","4","1","2","2,3,1,0,0,3,3,4,4,4","13.9"
"2020","21","1","2","147.156.150.27","l45","1572443096",NULL,"30","100","7","22","0","Derecho y economía","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","7","2","10","8","3","184.7","Hacer el mayor numero de conexiones con otros participantes que tengan conexiones directas.","Ir probando.",,"4,3,5,1,2","4","6","42","36","2","0,0,1,1,1","2","5","5","1","1","5","4","9","4","3,3,2,3,1,3,2,2,1,3","17.6"
"2018","21","1","3","147.156.150.24","l44","1572443091",NULL,"30","100","7","18","1",,"1","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","5","2","10","8","3","166.8","Intentar no realizar demasiados conexiones con el resto de participantes y que fueran ellos quienes tomaran las decisiones.","Ni idea ","no","1,2,4,5,3","5","6","61.2","19.6","4","0,0,0,0,0","2","5","5","1","0","5","2","1","4","3,4,3,3,1,3,0,2,1,3","17.1"
"2035","21","1","4","147.156.150.21","l26","1572443142",NULL,"30","100","7","19","1","Economía","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","8","2","10","8","3","153.8","Combinaciones aleatorias intentando conseguir el máximo beneficio posible","Al azar, intentando conseguir el máximo beneficio posible",,"4,2,1,5,3","4","6","58.8","2.4","2","0,0,1,1,1","1.6","5","6","1","1","5","5","1","5","1,3,3,2,2,3,2,3,4,2","16"
"2034","21","1","5","147.156.150.6","l12","1572443141",NULL,"30","100","7","20","1","Biotecnología","1","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","226.2","Intentar conseguir el máximo número de conexiones donde el resto no estuviera interconectado pero controlando el número de conexiones para maximizar las ganancias.","Intentar ser el centro de las uniones","En mi opinión había demasiados participantes como para que te dé tiempo a pensar. Es decir, aunque tuvieras una estrategia todo cambiaba tan rápido que al final ya no sabías lo que hacías.","1,2,3,5,4","3","6","30","30","5","0,0,1,1,1","0.1","5","5","1","1","3","4","8","3","1,4,3,3,1,4,1,4,0,2","17.5"
"2015","21","1","6","147.156.150.36","l42","1572443082",NULL,"30","100","7","18","1","Economia","1","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","4","2","10","8","3","171.9","intentar ser el centro de las conexiones de los demás.","intentar marginar a los puntos para ser la principal conexión.",,"1,3,5,4,2","2","6","37.2","11.2","5","0,0,1,1,1","3.85","5","2","1","0","5","5","1","4","0,4,2,1,2,4,0,2,1,4","18.6"
"2002","21","1","7","147.156.150.45","l62","1572443036",NULL,"30","100","7","19","1","Economia","4","203","0","41","4","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","207.4","Observar como evolucionaban las redes y actuar","Estar atento a las respuestas de los demás participantes",,"3,1,4,2,5","3","6","33","27","4","0,0,1,1,1","3.85","5","5","1","3","5","4","1","4","3,4,1,2,0,3,0,3,2,1","20.4"
"2040","21","1","8","147.156.150.13","l17","1572443169",NULL,"30","100","7","19","1",,"4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","1","2","10","8","3","175.9","Ir probando hasta dar con combinaciones que dieran con una cantidad de puntos decente","No me he fijado",,"3,2,4,1,5","1","6","30.4","28.8","1","0,0,0,0,1","1.6","5","6","1","1","1","4","8","2","3,4,3,3,3,1,3,2,3,4","16.3"
"2032","21","1","9","147.156.150.19","l25","1572443135",NULL,"30","100","7","19","0","Economía","3","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","168.8","Al principio intentaba conseguir bastantes puntos pero dada mi mala suerte a la hora de escoger mi puntuación empecé a conformarme con 20 puntos.","La verdad que no lo se","No","3,4,1,2,5","2","6","40","0","4","0,0,0,1,1","0.1","5","2","1","1","5","4","1","4","2,3,2,3,2,4,2,2,1,3","14.8"
"2028","21","1","10","147.156.150.16","l22","1572443121",NULL,"30","100","7","24","0","Farmacia","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","7","2","10","8","3","166.2","intentar conectarme con el mínimo posible de participantes","Que se conecten con ellos el máximo numero de parcipantes",,"1,3,4,2,5","4","6","60","0","1","0,0,0,0,0","1.6","5","6","1","1","1","1","9","2","1,3,0,2,0,4,1,2,1,1","16.4"
"2027","21","2","1","147.156.150.32","l36","1572443116",NULL,"30","100","7","18","1","Turismo","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","3","2","10","8","3","141.2","Trazar las mínimas conexiones que más me beneficiaran","Pienso que cada uno lleva a cabo una estrategia distinta",,"3,2,4,5,1","3","6","57.6","2.4","5","0,0,0,1,1","3.85","5","5","1","1","5","3","2","4","1,4,4,1,0,4,2,3,3,4","17.6"
"2030","21","2","2","147.156.150.17","l23","1572443125",NULL,"30","100","7","18","1",,"1","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","9","2","10","8","3","183.8","Intentar ser un punto de unión","centrase en los que más puntos tuviesen",,"5,2,4,1,3","3","6","50.4","9.6","2","0,0,0,0,0","1.6","5","2","1","3","1","4","5","1","3,4,2,4,4,4,0,3,0,2","17"
"2016","21","2","3","147.156.150.31","l31","1572443086",NULL,"30","100","7","20","0","Economia","4","203","0","41","0","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","4","2","10","8","3","126.4","Mantenerme el mayor tiempo posible con una puntuación media alta, evitando moverme todo el tiempo y que asi varien demasiado las puntuaciones","Tratar de estar conectados al nodo principal",,"1,4,2,5,3","5","6","120","0","1","0,0,1,1,1","2","5","3","1","1","5","4","8","3","3,3,4,4,0,3,2,3,0,4","16.1"
"2005","21","2","4","147.156.150.40","l53","1572443047",NULL,"30","100","7","19","0","ADE","4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","2","2","10","8","3","177.3","Intentar ser el centro del mayor numero de conexiones simple posibles","Hacer conexiones a lo loco",,"5,3,2,1,4","5","6","120","0","1","0,0,0,1,1","1.6","5","5","1","1","4","4","9","3","3,4,4,3,3,2,1,1,4,2","18.2"
"2017","21","2","5","147.156.150.37","l43","1572443087",NULL,"30","100","7","19","1","economia","4","203","0","41","3","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","179","conectar con puntos que estaban sueltos o que estaban conectados con pocas personas","conseguir que todos se conectaran a el",,"5,1,2,3,4","1","6","30","30","3","0,0,0,1,1","2","5","3","1","1","1","4","8","2","3,4,2,2,3,2,1,3,2,2","16.8"
"2036","21","2","6","147.156.150.9","l13","1572443147",NULL,"30","100","7","19","1",,"4","203","0","41","1","6","10","40","264,355,164,313,192,142","60","360",NULL,"80","20","50","5","6","2","10","8","3","171.5","unirme al concursante que más me interesaba para conseguir el mayor de puntos posibles","ir probando",,"1,3,2,5,4","5","6","99.6","6.8","1","1,1,1,1,1","0.1","5","1","0","4","2","4","9","0","3,3,4,0,1,3,3,1,3,3","15.7"
