"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","r","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","correct_comp","B5","final_pay"
"2267","23","1","1","150.128.49.2","c25","1581419096",NULL,"30","100","7","18","0","Derecho","4","203","2","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1570.8","Unirme a una conexión con muchas conexiones","La misma que la mía, en general, ya que veía a muchos únicamente conectados a una persona","Un experimento bastante complicado y difícil de seguir una estrategia con la que obtoner un beneficio muy grande.","5,3,2,4,1","2","6","14.8","100.8","3","0,0,0,0,1","2","5","6","6","1","5","5","9","4","3,2,1,4,3,1,2,3,3,2","14.9"
"2262","23","1","2","150.128.49.2","c20","1581419088",NULL,"30","100","7","18","1","ADE","4","203","4","0","8","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1011.3","al principio no sabia como manejarlo, pero luego ya entendi que es mas beneficioso estar conectado a una sola persona que ya esta conectada a mucha gente que conectarme yo misma a mucha gente.","yo creo que al darse cuenta, han ido haciendo lo mismo que yo",,"1,5,2,4,3","2","6","21.2","75.2","1","0,0,0,1,1","1.6","5","2","6","1","5","5","1","5","4,4,4,2,0,1,2,2,3,4","12.2"
"2253","23","1","3","147.156.150.25","l27","1581419068",NULL,"30","100","7","19","1","ECONOMÍA","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","505.7","Me guiaba por las conexiones que había ofrecido y las que me ofrecían y el nivel de proximidad","Intentar lo antes posible seleccionar nodos que no tenían ningún tipo de conexión",,"4,5,3,1,2","2","6","34.4","22.4","5","0,0,0,1,1","3.85","5","2","6","0","5","4","1","3","3,3,2,1,4,3,2,1,3,1","12.2"
"2257","23","1","4","150.128.49.2","c42","1581419076",NULL,"30","100","7","21","1","Ingenieria de tecnologia industriales","4","203","0","41","3","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","859.7","He intentado ir a por muchos px para ver si conseguia una gran puntuación pero no lo he conseguido porque siempre habia alguien que tenia mas conexiones, por lo que la otra estrategia seria conectarse solo a uno evitando tener gastos de conexion y asegurarte una puntuación positiva.","La mayoria se ha podido observar que han optado por lo seguro pero no demasiado eficiente que era conectarse solo a 1.",,"3,5,1,4,2","3","6","59.4","0.6","4","0,0,1,1,1","3.85","5","6","6","0","5","4","9","2","3,3,1,1,1,2,3,4,3,1","14.3"
"2275","23","1","5","150.128.49.2","c37","1581419112",NULL,"30","100","7","18","1",,"1","203","0","41","3","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","9","2","10","80","3","1342.9","observar las relaciones de los otros participantes","saber que relaciones establecer",,"4,2,5,3,1","5","6","62.4","19.2","3","0,0,1,1,1","0.1","5","1","1","2","5","4","8","1","4,4,3,1,2,0,2,2,3,2","12.7"
"2240","23","1","6","147.156.150.45","l62","1581419051",NULL,"30","100","7","20","1",,"1","203","2","41","12","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","2211","Conectar con quien tuviera más conecciones","Conectar con cualquiera",,"2,1,4,3,5","5","6","120","0","1","0,0,0,0,0","1.6","5","6","6","1","5","5","1","5","3,3,3,2,2,2,1,3,2,2","19.6"
"2269","23","1","7","147.156.150.54","l67","1581419098",NULL,"30","100","7","23","1","educación","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1426.5","elegir los círculos que se encontraban más cerca y descartar los triángulos","no lo sé, porque no he entendido muy bien el ejercicio",,"3,1,5,2,4","1","6","30.4","28.8","1","0,0,0,0,0","1.6","5","1","1","0","5","4","1","2","0,4,3,0,0,4,2,4,4,2","14"
"2268","23","1","8","150.128.49.2","c39","1581419097",NULL,"30","100","7","39","1","auxiliar enfermeria","4","43","2","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","2","2","10","80","3","1228.1","unirme al mas proximo","la velocidad","falta fluidez en la explicacion","4,5,3,1,2","5","6","52.8","22.4","5","0,0,1,1,1","3.85","5","1","1","1","1","5","8","2","3,4,0,4,0,4,0,4,0,4","15.8"
"2210","23","1","9","147.156.150.43","l56","1581419003",NULL,"30","100","7","18","1",,"4","61","1","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","1466.8","Crear lazos con los que lo proponían.","En general, la misma.",,"1,4,2,3,5","4","6","12.6","94.8","4","0,0,0,1,1","0.1","5","6","4","1","1","4","8","1","1,4,0,1,2,3,0,0,1,4","12.2"
"2241","23","1","10","147.156.150.18","l24","1581419051",NULL,"30","100","7","26","1","artistico","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","1548.8","unirme al nodo que mas enlaces tuviese, y conseguir una tercera union con otro nodo que solo estuviese enlazado con una persona","unirse al mayor numero de nodos","no imprimir las instrucciones si van a ser leidas","4,5,2,3,1","5","6","30","30","3","0,0,1,1,1","0.1","5","3","4","5","3","5","8","1","1,4,2,1,0,4,0,4,3,4","12.9"
"2261","23","1","11","150.128.49.2","c41","1581419083",NULL,"30","100","7","18","1",,"4","203","0","41","3","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","9","2","10","80","3","1476.1","Conectar con la persona que tenía mayor numero de puntos","Una parecida",,"4,1,3,5,2","3","6","50.4","9.6","4","0,0,0,0,0","2","5","6","6","1","5","5","1","5","3,4,3,4,3,3,2,3,3,3","15.4"
"2260","23","1","12","150.128.49.2","c21","1581419082",NULL,"30","100","7","55","1",,"5","203","0","41","0","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","233.3","posición mía y de los otros. comprobar que los enlaces me eran beneficiosos","el centro y conexiones radiadas","sÍ per a quan que el català siga possible per a escollir-lo com a llengua? Gràcies","5,2,1,3,4","1","6","30.4","28.8","3","0,0,0,1,1","2","5","5","6","3","5","5","1","5","0,4,0,4,0,4,0,4,1,4","9.3"
"2203","23","1","13","147.156.150.39","l52","1581418985",NULL,"30","100","7","20","1","Medicina","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1585.5","Intentar conseguir puntos por mediación","Establecer el máximo posible de enlaces",,"2,5,4,3,1","5","6","120","0","5","0,0,0,1,1","3.85","5","5","6","1","6","4","1","4","3,4,4,1,1,3,1,4,2,4","19"
"2227","23","1","14","147.156.150.22","l34","1581419036",NULL,"30","100","7","18","1","Economia","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","4","2","10","80","3","1417.6","Establecer enlaces entre aquellas personas que más puntos me daban, y si se reducían los puntos quitar los enlaces, he preferido no tener conexiones de mediación por tener más puntos","Unirse a todo el mundo posible para aumentar los puntos por conexiones sin tener en cuenta los costes de los enlaces",,"4,2,5,3,1","2","6","33.6","25.6","4","0,0,0,1,1","3.85","5","5","6","0","5","9","1","4","0,4,3,4,2,4,0,3,1,3","16.5"
"2230","23","1","15","147.156.150.29","l35","1581419040",NULL,"30","100","7","18","0","BIG DATA","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","1","2","10","80","3","1473.5","COLOCARME A LA MITAD DE DOS TRIÁNGULOS O CÍRCULOS Y ASÍ GENERAR BENEFICIOS DE INTERMEDIARIO.","ASOCIARSE CON LOS TRIÁNGULOS QUE ESTABAN CERCANOS A ELLOS Y SI ERA POSIBLE QUEDANDO A LA MITAD DE ELLOS.","PODRÍA HABER SIDO UN JUEGO MÁS INTUITIVO Y MENOS LIOSO EN EL QUE TODO SE VIERA MEJOR.","5,3,4,2,1","3","6","40.2","19.8","5","0,0,0,1,1","3.85","5","1","6","1","5","5","1","5","3,4,2,4,2,4,0,3,0,4","16.9"
"2251","23","1","16","150.128.49.2","c22","1581419065",NULL,"30","100","7","20","1","Traducción e Interpretación","4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","8","2","10","80","3","1486.3","Mi estrategia era intentar hacer las menos conexiones posibles, ya que eran puntos negativos.","No lo se",,"3,4,1,2,5","3","6","34.8","25.2","3","0,0,0,0,0","1.6","5","6","6","0","2","4","2","1","3,0,1,2,0,3,0,3,4,3","14.2"
"2282","23","1","17","150.128.49.2","c14","1581419129",NULL,"30","100","7","36","1",,"3","203","0","41","3","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","946.8","tener las suficientes relaciones para ganar puntos, pero desvincularme de otros si veía que tenía demasiados, ya que me restaba puntos al estar muy vinculado","supongo que estrategias de todo tipo, desde ir clicando aleatoriamente, hasta relacionarse al máximo posible",,"5,2,4,3,1","5","6","30","30","4","0,0,0,0,1","2","5","1","6","1","5","4","1","4","4,4,1,3,4,3,3,4,1,4","12.4"
"2233","23","1","18","147.156.150.10","l14","1581419042",NULL,"30","100","7","19","1",,"4","203","5","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","3","2","10","80","3","1568.4","Hacer una única estrategia.","Hacer una única estrategia.",,"4,3,2,1,5","1","6","30","30","1","0,1,1,1,1","1.6","5","5","6","1","5","5","1","6","1,4,3,0,2,4,4,2,1,3","15"
"2248","23","1","19","150.128.49.2","c44","1581419062",NULL,"30","100","7","21","1",,"4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","1","2","10","80","3","1548.2","Asociarse a algun nodo con muchos enlaces.","Ser el centro de muchos nodos y que estén conectados a él.",,"1,4,3,2,5","5","6","61.2","19.6","2","0,0,1,1,1","1.6","5","6","6","0","5","5","8","3","1,4,3,1,3,3,1,4,2,2","15.3"
"2271","23","1","20","150.128.49.2","c18","1581419103",NULL,"30","100","7","19","0",,"4","203","0","41","1","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","6","2","10","80","3","315.7","Conectarme lo justo con quien creo que me puede interesar","conectarse todo lo que podian y esperar",,"4,2,1,3,5","3","6","30","30","4","0,0,0,1,1","3.85","5","1","6","1","1","4","1","3","2,4,3,2,2,3,0,3,4,4","11.3"
"2299","23","1","21","150.128.49.2","c50","1581419168",NULL,"30","100","7","20","1","Economía","4","203","0","41","0","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","9","2","10","80","3","1390.9","Hacer pocos enlaces, máximo 3 y una vez el beneficio fluctuara poco, mantenerme","Enlazarse con muchos nodos distintos",,"5,1,4,2,3","3","6","30","30","4","0,0,0,0,1","2","5","6","6","1","5","4","8","3","3,3,2,2,0,2,3,3,2,2","14.3"
"2254","23","1","22","150.128.49.2","c43","1581419069",NULL,"30","100","7","20","1",,"1","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","1549.1","Conservar entre una y dos relaciones que me dieran el máximo de puntos posibles.","Establecer más de dos relaciones o,incluso muchas de ellas.",,"1,2,3,4,5","4","6","36","48","4","0,0,0,1,1","0.1","5","5","6","0","5","4","1","4","1,4,4,3,2,4,0,3,1,3","13.4"
"2284","23","1","23","150.128.49.2","c34","1581419131",NULL,"30","100","7","19","1","Ingeniería","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","5","2","10","80","3","1378.2","Intentar conectarme con los usuarios con más usuarios conectados a él.","Esperarse al último momento para conectarse a otros usuarios que les daría más beneficio, finalmente.",,"1,4,5,3,2","4","6","40.2","39.6","3","0,0,0,1,1","1.6","5","5","6","4","5","4","4","3","3,4,0,2,4,2,0,4,3,2","14.1"
"2291","23","1","24","150.128.49.2","c33","1581419146",NULL,"30","100","7","20","1","Jurídicas","4","203","0","41","4","6","100","100","118,149,323,66,239,84","60","360",NULL,"800","220","50","5","7","2","10","80","3","1814.6","observar qué ocurria si me unia a un lodo u otro","la misma u otras más o menos eficientes",,"4,1,2,5,3","1","6","40","0","3","0,0,1,1,1","0.1","5","5","6","1","4","1","9","3","4,4,2,4,1,2,1,3,1,3","14.6"
