"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","2333","4","24","82","1","1","1","[71]"
"2","2315","6","24","44","1","1","1","[36]"
"3","2311","7","24","70","1","1","1","[76]"
"4","2344","7","24","81","1","1","1","[8]"
"5","2315","7","24","44","1","1","1","[36,72]"
"6","2316","7","24","68","1","1","1","[10]"
"7","2344","8","24","81","1","1","1","[8,71]"
"8","2315","9","24","44","1","1","1","[36,72,25]"
"9","2333","9","24","82","1","1","1","[71,25]"
"10","2311","9","24","70","1","1","1","[76,15]"
"11","2312","9","24","34","1","1","1","[55]"
"12","2344","9","24","81","1","1","1","[8,71,28]"
"13","2317","9","24","31","1","1","1","[79]"
"14","2347","10","24","24","1","1","1","[26]"
"15","2333","10","24","82","1","1","1","[71,25,98]"
"16","2360","10","24","83","1","1","1","[84]"
"17","2341","10","24","88","1","1","1","[71]"
"18","2342","11","24","20","1","1","1","[38]"
"19","2311","11","24","70","1","1","1","[76,15,35]"
"20","2344","11","24","81","1","1","1","[8,71,28,94]"
"21","2317","11","24","31","1","1","1","[79,17]"
"22","2349","11","24","38","1","1","1","[8]"
"23","2334","11","24","10","1","1","1","[8]"
"24","2347","11","24","24","1","1","1","[]"
"25","2344","12","24","81","1","1","1","[8,71,28,94,32]"
"26","2360","12","24","83","1","1","1","[84,75]"
"27","2319","12","24","90","1","1","1","[8]"
"28","2342","12","24","20","1","1","1","[38,49]"
"29","2311","12","24","70","1","1","1","[76,15,35,84]"
"30","2389","12","24","11","1","1","1","[64]"
"31","2326","12","24","4","1","1","1","[16]"
"32","2349","12","24","38","1","1","1","[]"
"33","2325","12","24","63","1","1","1","[8]"
"34","2339","12","24","62","1","1","1","[8]"
"35","2333","12","24","82","1","1","1","[71,25,98,84]"
"36","2336","12","24","13","1","1","1","[1]"
"37","2343","12","24","85","1","1","1","[8]"
"38","2329","13","24","47","1","1","1","[79]"
"39","2344","13","24","81","1","1","1","[8,71,28,94,32,50]"
"40","2360","13","24","83","1","1","1","[84,75,71]"
