"id","id_subj","round","session","period","id_grp","grp","time","time_start","duration","links","payoff"
"1","29","1","1","1","48","1","1558688842","1558688592","250","[7,45,41,49]","155"
"2","38","1","1","1","19","1","1558688840","1558688592","250","[22,43,32]","155"
"3","5","1","1","1","44","1","1558688835","1558688592","250","[32,25,17,33,48,22,50,8,30,37,36,4]","346.9"
"4","33","1","1","1","26","1","1558688838","1558688592","250","[41,23,35,16,12,43,42,28]","35.1"
"5","2","1","1","1","7","1","1558688842","1558688592","250","[26,29,43,34,33,11,36,30,28]","155"
"6","20","1","1","1","1","1","1558688840","1558688592","250","[13,15,6,33,40,48,20,35,26,21]","155"
"7","36","1","1","1","34","1","1558688839","1558688592","250","[17,41,31,22,44,24,9,14,5]","35.1"
"8","34","1","1","1","9","1","1558688842","1558688592","250","[8,42,15,32,24,44,18]","115"
"9","30","1","1","1","10","1","1558688840","1558688592","250","[38,11,46,29,5,34,25,20,41,43,39,49,6]","75"
"10","1","1","1","1","22","1","1558688831","1558688592","250","[17,1,41,36,32,5,9,18,34,19,44,35,20,50,21,6,3,29,4,45]","-44.9"
"11","18","1","1","1","11","1","1558688839","1558688592","250","[38,26,28,1,16,39,14,12,15,2,33,7,13,50,30,40,41,42,48,23,46,35,37,49,25]","-44.9"
"12","39","1","1","1","17","1","1558688826","1558688592","250","[37,11,29]","84"
"13","19","1","1","1","49","1","1558688810","1558688592","250","[23,37,46,48,5,10,26,25,16]","35.1"
"14","10","1","1","1","43","1","1558688841","1558688592","250","[23,35,38,27,12,26,28,29,42,47]","115"
"15","16","1","1","1","30","1","1558688837","1558688592","250","[41,26,43,21,7,4,8,38,20,24,40,50,2,15,1,11]","75"
"16","26","1","1","1","8","1","1558688830","1558688592","250","[18,9,41,21,3,35,23,40,34,26,42,24,49,43,13,36,45,31,20,19,29,50]","-44.9"
"17","27","1","1","1","4","1","1558688841","1558688592","250","[8,2,29,50,7,32,30,37,18,13,11,38,36,9,34,1,27,22,17]","266.9"
"18","28","1","1","1","6","1","1558688840","1558688592","250","[29,15,11,33,28]","232.4"
"19","46","1","1","1","50","1","1558688837","1558688592","250","[35,8,25,27,20,5,23,4,16,24,21,34,46,36,40,45,17,7,38,28,14,10]","-44.9"
"20","41","1","1","1","15","1","1558688831","1558688592","250","[6,13,29]","155"
"21","23","1","1","1","13","1","1558688837","1558688592","250","[1,33,23,7,36,2,15,37]","75"
"22","14","1","1","1","23","1","1558688821","1558688592","250","[49,29,5,47,27,42,12,48,10]","35.1"
"23","8","1","1","1","41","1","1558688842","1558688592","250","[32,14,17,35,43,23,48,21,42,39,10,27,47,46,12,26,38,34,49]","-44.9"
"24","32","1","1","1","40","1","1558688831","1558688592","250","[26,25,49,48,47,35,18,44,7,46,8,34,43,20,3,2,16]","75"
"25","49","1","1","1","39","1","1558688837","1558688592","250","[46,3,11,29,10,25]","115"
"26","50","1","1","1","47","1","1558688838","1558688592","250","[27,25,44,46,43,40,21,37,39,23,11]","75"
"27","22","1","1","1","45","1","1558688841","1558688592","250","[26,25,6,39,41,31,42,29,28,46,21,11,24,22,19,1,12]","35.1"
"28","48","1","1","1","20","1","1558688837","1558688592","250","[36,41,8,38,16,12,46,34,3,43,7,19,6,10,5,35,26,15]","115"
"29","9","1","1","1","33","1","1558688832","1558688592","250","[38,11,6,13,28,50,12,49,44,9,26,45]","35.1"
"30","35","1","1","1","21","1","1558688842","1558688592","250","[35,9,36,12,42,1,37,5,13,50,6,15,48,45,47]","75"
"31","24","1","1","1","25","1","1558688839","1558688592","250","[35,23,46,18,39,8,11]","115"
"32","47","1","1","1","29","1","1558688841","1558688592","250","[25,30,26,42,6]","120.7"
"33","4","1","1","1","12","1","1558688839","1558688592","250","[29,16,18,33,23,11]","35.1"
"34","25","1","1","1","32","1","1558688839","1558688592","250","[26,17,24,4,25,50,30,22,19,44,33,40,3,9,34,18]","-4.9"
"35","31","1","1","1","37","1","1558688806","1558688592","250","[33,17,50,7,4]","202.7"
"36","17","1","1","1","31","1","1558688838","1558688592","250","[47,50,34,45,3,8]","75"
"37","15","1","1","1","35","1","1558688838","1558688592","250","[28,16,45,10,41,26,43]","115"
"38","44","1","1","1","28","1","1558688830","1558688592","250","[17,37,29,25,6,10,26]","155"
"39","43","1","1","1","42","1","1558688825","1558688592","250","[23,41]","155"
"40","40","1","1","1","27","1","1558688753","1558688592","250","[1,35,17,32,38,14,20,3,25,23,24,50,46]","35.1"
"41","6","1","1","1","38","1","1558688842","1558688592","250","[35,36,16,29,8]","84"
