"id","id_subj","nb_question","nb_item","choice"
"1","542","1","2","0"
"2","537","1","2","0"
"3","542","2","1","0"
"4","509","1","4","0"
"5","537","2","5","0"
"6","542","3","5","0"
"7","542","4","3","0"
"8","537","3","3","0"
"9","542","5","4","0"
"10","537","4","1","0"
"11","537","5","4","0"
"12","509","2","5","63"
"13","521","1","4","0"
"14","509","3","2","10"
"15","521","2","5","0"
"16","536","1","1","11"
"17","509","4","1","14"
"18","536","2","3","50"
"19","509","5","3","11"
"20","599","1","1","20"
"21","521","3","2","20"
"22","530","1","5","42"
"23","516","1","4","0"
"24","536","3","4","0"
"25","530","2","3","33"
"26","599","2","3","21"
"27","516","2","1","0"
"28","592","1","2","20"
"29","516","3","3","0"
"30","578","1","1","22"
"31","520","1","1","0"
"32","516","4","2","0"
"33","530","3","2","25"
"34","521","4","1","18"
"35","530","4","4","26"
"36","599","3","5","50"
"37","516","5","5","0"
"38","597","1","2","0"
"39","536","4","2","42"
"40","521","5","3","32"
"41","599","4","4","23"
"42","520","2","2","0"
"43","578","2","4","16"
"44","520","3","3","0"
"45","596","1","2","13"
"46","541","1","2","20"
"47","520","4","5","0"
"48","592","2","5","62"
"49","536","5","5","34"
"50","530","5","1","87"
"51","520","5","4","0"
"52","528","1","4","33"
"53","559","1","1","0"
"54","533","1","3","28"
"55","549","1","1","0"
"56","533","2","1","74"
"57","538","1","3","41"
"58","591","1","1","40"
"59","567","1","5","75"
"60","599","5","2","14"
"61","597","2","5","26"
"62","592","3","3","41"
"63","533","3","4","34"
"64","543","1","5","69"
"65","553","1","5","75"
"66","578","3","2","17"
"67","541","2","1","0"
"68","559","2","4","33"
"69","596","2","4","33"
"70","591","2","4","28"
"71","583","1","2","0"
"72","557","1","3","40"
"73","553","2","4","35"
"74","533","4","2","21"
"75","580","1","4","10"
"76","535","1","1","25"
"77","533","5","5","60"
"78","597","3","3","17"
"79","553","3","2","20"
"80","591","3","3","46"
"81","503","1","1","25"
"82","532","1","1","50"
"83","596","3","5","50"
"84","528","2","3","50"
"85","552","1","1","25"
"86","592","4","4","31"
"87","543","2","4","20"
"88","591","4","5","0"
"89","515","1","3","50"
"90","559","3","3","16"
"91","553","4","3","50"
"92","600","1","2","19"
"93","597","4","4","0"
"94","538","2","5","60"
"95","583","2","1","0"
"96","528","3","5","75"
"97","567","2","2","19"
"98","541","3","5","0"
"99","591","5","2","100"
"100","532","2","4","42"
"101","579","1","3","34"
"102","519","1","2","20"
"103","597","5","1","3"
"104","553","5","1","25"
"105","596","4","1","25"
"106","583","3","3","0"
"107","517","1","3","33"
"108","572","1","5","40"
"109","583","4","4","0"
"110","557","2","4","34"
"111","552","2","2","11"
"112","578","4","5","33"
"113","592","5","1","24"
"114","583","5","5","0"
"115","541","4","4","33"
"116","503","2","5","75"
"117","567","3","4","17"
"118","522","1","4","18"
"119","587","1","3","25"
"120","532","3","5","29"
"121","524","1","1","25"
"122","596","5","3","50"
"123","549","2","2","0"
"124","538","3","2","14"
"125","580","2","1","8"
"126","519","2","5","0"
"127","528","4","2","20"
"128","578","5","3","34"
"129","532","4","2","78"
"130","559","4","5","17"
"131","600","2","3","51"
"132","540","1","4","0"
"133","552","3","3","55"
"134","543","3","3","34"
"135","548","1","1","22"
"136","503","3","3","50"
"137","532","5","3","50"
"138","541","5","3","50"
"139","538","4","4","27"
