"id","session","grp","match_id","id_unique","name","time_start","time_ready","period_time","started","round","age","gender","major","education","country_origin","ethnic","native","religion","nb_rounds","grp_size","session_size","duration","min_duration","max_duration","ready","endowment","crate","crate_sp","sufee","scroll","refresh_time","v","k","earnings_game","q1","q2","q3","order_slider","nb_pay_social","nb_slider","social_pay_own","social_pay_other","nb_pay_risk","risk","risk_pay","nb_comp","comp_1","comp_2","comp_3","comp_4","comp_5","comp_6","comp_7","comp_8","correct_comp","B5","final_pay"
"659","7","1","1","147.156.150.59","l76","1562580158",NULL,"30","100","7","19","0","SALUD","4","203","2","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","6","2","10","80","2384.4","Crear pocos enlaces para reducir el coste que me generaban las conexiones puesto que no salia rentable","Muy Variada aunque diria que la mayoría tendia a hacer muchas conexiones",,"3,1,5,4,2","4","6","20.4","79.2","1","0,1,1,1,1","1.6","5","5","6","1","3","99","27",NULL,NULL,"3","1,3,1,4,2,4,0,1,1,3","18.3"
"651","7","1","2","147.156.150.64","l83","1562580153",NULL,"30","100","7","19","1",,"1","203","2","42","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","8","2","10","80","2064.5","Encontrar el numero mayor de conexiones mediaticas","La misma, buscando su propio beneficio",,"5,3,4,2,1","3","6","0","60","2","1,1,1,1,1","0.1","5","6","6","1","3","72","37",NULL,NULL,"3","0,4,3,3,3,3,0,4,1,4","14.8"
"652","7","1","3","147.156.150.58","l73","1562580153",NULL,"30","100","7","20","0",,"4","203","0","41","3","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","8","2","10","80","2068.4","Intentar mantener la puntuación en una cifra determinada","muy parecida",,"5,3,1,2,4","5","6","120","0","4","0,0,1,1,1","3.85","5","1","0","4","3","69","37",NULL,NULL,"1","3,4,3,3,1,4,1,4,1,4","20.9"
"603","7","1","4","150.128.49.2","c02","1562579737",NULL,"30","100","7","19","1","ciencias sociales","1","203","0","41","0","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","2144.4","Esperar a que quisieran enlazar conmigo y ver si me interesaba","ir creando vinculos ",,"1,3,5,4,2","2","6","29.6","41.6","1","0,0,1,1,1","1.6","5","6","6","2","1","1","1",NULL,NULL,"3","3,3,2,3,3,1,3,1,2,4","17.3"
"641","7","1","5","150.128.49.2","c37","1562580061",NULL,"30","100","7","63","0",,"2","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","6","2","10","80","1189.8","Conectar con los participantes que más valores tenían en sus triángulos o circulos","Supongo que la misma.",,"2,5,1,4,3","5","6","30","30","4","1,1,1,1,1","3.85","5","6","6","4","1","68","37",NULL,NULL,"3","3,4,0,3,4,3,1,3,3,3","15.3"
"630","7","1","6","150.128.49.2","c32","1562580004",NULL,"30","100","7","58","0","ingenieria","6","235","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","1744.4","el analisis de los nichos con mas coneccion y menos coste para mi","mas o menos similar","la respuesta del ordenador estaba lenta por saturacion ","1,2,5,4,3","3","6","45","15","5","1,1,1,1,1","3.85","5","5","6","1","1","36","1",NULL,NULL,"4","3,4,2,3,3,4,2,3,1,4","18.2"
"699","7","1","7","147.156.150.13","l17","1562580209",NULL,"30","100","7","42","1","Ciencias ambientales","3","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","1","2","10","80","704.5","Intentar realizar conexiones con el mayor número de gente posible inicialmente. Luego probé a hacer unas pocas e ir viendo cómo funcionaba la cosa, incluso me puse a cortar conexiones que me salían caras. Luego probé a quedarme quieta a ver cómo evolucionaban las conexiones sin que yo estuviera loca buscando conectarme con el mayor número posible de personas.","pues rápido posicionarse con muchas y en el centro y luego ir viendo cómo iba la cosa. También creo que hubo gente que se quedó por la periferia con pocas conexiones para hacerse más imprescindible.","La mesa está bastante sucia, podrían limpiar polvo y pelos de la gente que se han colado hasta la pantalla y da muy mala impresión. Gracias.","2,1,4,5,3","4","6","60","0","1","0,0,0,1,1","1.6","5","6","6","0","3","68","37",NULL,NULL,"2","0,4,0,1,0,4,3,4,3,4","11.3"
"689","7","1","8","147.156.150.23","l38","1562580191",NULL,"30","100","7","21","1","derecho","4","203","0","41","1","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","4","2","10","80","1908.4","hacer pocas conexiones  y solo con gente que había realizado ya varias anteriormente ","hacer muchas conexiones en el primer minuto",,"1,4,5,2,3","5","6","120","0","2","0,0,0,0,1","2","5","5","6","2","3","99","62",NULL,NULL,"2","0,4,2,0,0,4,0,3,4,3","18.3"
"625","7","1","9","150.128.49.2","c25","1562579988",NULL,"30","100","7","48","0","ingenieria organizacion industrial","5","203","2","41","5","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","8","2","10","80","2304.5","hacer muchos enlaces para ir desaciendo primero los directos y luego los solicitados no aceptados","hacer mas o menos lo mismo pues al final habian pocos movimientos",,"5,3,4,2,1","5","6","30","30","5","0,1,1,1,1","3.85","5","6","6","3","3","68","37",NULL,NULL,"2","0,4,3,3,3,4,0,3,0,4","20.2"
"642","7","1","10","150.128.49.2","c36","1562580066",NULL,"30","100","7","64","1",,"2","203","0","41","4","6","100","100","241,229,264,102,179,352","60","360",NULL,"800","220","50","5","2","2","10","80","1344.4","unir los contactos más próximos","la misma",,"2,1,5,3,4","5","6","90","10","3","0,0,0,0,1","1.6","5","4","1","2","3","72","3",NULL,NULL,"0","0,4,0,3,0,4,0,4,0,4","14.6"
