"id","id_subj","time","session","id_grp","grp","round","period","links"
"1","865","7","9","31","1","1","1","[58]"
"2","861","10","9","77","1","1","1","[71]"
"3","893","10","9","42","1","1","1","[72]"
"4","865","10","9","31","1","1","1","[58,84]"
"5","861","11","9","77","1","1","1","[71,15]"
"6","846","11","9","74","1","1","1","[66]"
"7","892","11","9","95","1","1","1","[83]"
"8","819","11","9","2","1","1","1","[76]"
"9","856","11","9","57","1","1","1","[8]"
"10","867","12","9","84","1","1","1","[71]"
"11","822","12","9","5","1","1","1","[72]"
"12","861","12","9","77","1","1","1","[71,15,63]"
"13","804","12","9","7","1","1","1","[16]"
"14","817","12","9","97","1","1","1","[19]"
"15","893","13","9","42","1","1","1","[72,19]"
"16","843","13","9","33","1","1","1","[37]"
"17","804","13","9","7","1","1","1","[]"
"18","855","13","9","68","1","1","1","[72]"
"19","860","13","9","19","1","1","1","[37]"
"20","861","13","9","77","1","1","1","[71,15,63,36]"
"21","817","13","9","97","1","1","1","[]"
"22","831","13","9","37","1","1","1","[24]"
"23","877","14","9","8","1","1","1","[57]"
"24","811","14","9","63","1","1","1","[76]"
"25","854","14","9","66","1","1","1","[37]"
"26","804","14","9","7","1","1","1","[76]"
"27","893","14","9","42","1","1","1","[72,19,74]"
"28","879","14","9","91","1","1","1","[71]"
"29","819","14","9","2","1","1","1","[76,37]"
"30","893","14","9","42","1","1","1","[72,19]"
"31","859","14","9","55","1","1","1","[58]"
"32","843","15","9","33","1","1","1","[37,84]"
"33","861","15","9","77","1","1","1","[71,15,63,36,25]"
"34","892","15","9","95","1","1","1","[83,71]"
"35","802","15","9","52","1","1","1","[36]"
"36","871","15","9","28","1","1","1","[97]"
"37","825","15","9","10","1","1","1","[47]"
"38","811","15","9","63","1","1","1","[76,72]"
"39","872","15","9","40","1","1","1","[72]"
"40","867","15","9","84","1","1","1","[71,98]"
"41","882","15","9","56","1","1","1","[1]"
"42","874","16","9","96","1","1","1","[71]"
"43","873","16","9","44","1","1","1","[17]"
"44","859","16","9","55","1","1","1","[58,79]"
"45","893","16","9","42","1","1","1","[72,19,25]"
"46","889","16","9","61","1","1","1","[97]"
"47","870","16","9","1","1","1","1","[18]"
"48","893","16","9","42","1","1","1","[72,19]"
"49","807","16","9","59","1","1","1","[48]"
"50","881","16","9","93","1","1","1","[37]"
"51","866","16","9","89","1","1","1","[57]"
"52","811","16","9","63","1","1","1","[76,72,64]"
"53","868","16","9","69","1","1","1","[8]"
"54","887","16","9","88","1","1","1","[71]"
"55","802","16","9","52","1","1","1","[36,15]"
"56","816","16","9","64","1","1","1","[17]"
"57","831","16","9","37","1","1","1","[24,76]"
"58","861","17","9","77","1","1","1","[71,15,63,36,25,75]"
"59","896","17","9","30","1","1","1","[1]"
"60","859","17","9","55","1","1","1","[58,79,64]"
"61","804","17","9","7","1","1","1","[76,74]"
"62","865","17","9","31","1","1","1","[58,84,51]"
"63","884","17","9","3","1","1","1","[9]"
"64","867","17","9","84","1","1","1","[71,98,31]"
"65","828","17","9","50","1","1","1","[48]"
"66","892","17","9","95","1","1","1","[83,71,57]"
"67","895","17","9","90","1","1","1","[31]"
"68","808","17","9","71","1","1","1","[84]"
"69","899","17","9","47","1","1","1","[1]"
"70","848","17","9","75","1","1","1","[71]"
"71","897","17","9","60","1","1","1","[17]"
"72","893","17","9","42","1","1","1","[72,19,25]"
"73","888","17","9","58","1","1","1","[55]"
"74","838","17","9","99","1","1","1","[48]"
"75","871","17","9","28","1","1","1","[97,80]"
"76","881","17","9","93","1","1","1","[37,1]"
"77","851","17","9","86","1","1","1","[100]"
"78","882","17","9","56","1","1","1","[1,37]"
"79","900","17","9","43","1","1","1","[8]"
"80","819","17","9","2","1","1","1","[76,37,25]"
"81","823","17","9","46","1","1","1","[17]"
"82","852","17","9","24","1","1","1","[72]"
"83","887","17","9","88","1","1","1","[71,24]"
"84","859","17","9","55","1","1","1","[58,79,64,76]"
"85","870","17","9","1","1","1","1","[18,56]"
"86","875","17","9","32","1","1","1","[76]"
"87","845","17","9","85","1","1","1","[1]"
"88","843","17","9","33","1","1","1","[37,84,57]"
"89","891","17","9","34","1","1","1","[1]"
"90","878","18","9","70","1","1","1","[37]"
"91","807","18","9","59","1","1","1","[48,100]"
"92","861","18","9","77","1","1","1","[71,15,63,36,25,75,57]"
"93","802","18","9","52","1","1","1","[36,15,76]"
"94","831","18","9","37","1","1","1","[24,76,8]"
"95","816","18","9","64","1","1","1","[17,37]"
"96","869","18","9","25","1","1","1","[77]"
"97","833","18","9","4","1","1","1","[9]"
"98","836","18","9","17","1","1","1","[8]"
"99","882","18","9","56","1","1","1","[37]"
"100","887","18","9","88","1","1","1","[71,24,19]"
"101","880","18","9","41","1","1","1","[80]"
"102","823","18","9","46","1","1","1","[17,97]"
"103","899","18","9","47","1","1","1","[1,17]"
"104","897","18","9","60","1","1","1","[17,8]"
"105","896","19","9","30","1","1","1","[1,38]"
"106","838","19","9","99","1","1","1","[48,1]"
"107","824","19","9","100","1","1","1","[99]"
"108","888","19","9","58","1","1","1","[55,31]"
